,id,url,type,cost,impression,effect,status,img
10993,CR382388153907937280,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR382388153907937280,Image,500,50000,100,,
10994,CR391056703581323264,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR391056703581323264,Image,500,50000,100,,
10995,CR391177649860378624,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR391177649860378624,Image,50,5000,100,,
10998,CR39705563902246912,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR39705563902246912,Image,50,50000,1000,,
11000,CR398093577999089664,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR398093577999089664,Image,500,500000,1000,,
11001,CR398445421719977984,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR398445421719977984,Image,50,5000,100,,
11002,CR399219477905932288,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR399219477905932288,Image,50,5000,100,,
11003,CR399410792929165312,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR399410792929165312,Image,50,5000,100,,
11004,CR400415746556952576,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR400415746556952576,Image,500,50000,100,,
11005,CR402034227673038848,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR402034227673038848,Image,500,500000,1000,,
11006,CR407576865788657664,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR407576865788657664,Image,50,5000,100,,
11007,CR41183307529977856,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR41183307529977856,Image,50,5000,100,,
11008,CR414610441671540736,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR414610441671540736,Image,50,5000,100,,
11009,CR415384497857495040,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR415384497857495040,Image,50,5000,100,,
11010,CR415458165136556032,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR415458165136556032,Image,50,5000,100,,
11012,CR418007932601368576,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR418007932601368576,Image,500,500000,1000,,
11013,CR421385632321896448,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR421385632321896448,Image,50,5000,100,,
11017,CR429528615437205504,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR429528615437205504,Image,50,5000,100,,
11020,CR435811224878317568,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR435811224878317568,Image,50,5000,100,,
11021,CR436163068599205888,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR436163068599205888,Image,50,5000,100,,
11023,CR439259293343023104,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR439259293343023104,Image,500,50000,100,,
11025,CR440948143203287040,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR440948143203287040,Image,500,50000,100,,
11026,CR442918468040261632,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR442918468040261632,Image,50,5000,100,,
11027,CR446296167760789504,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR446296167760789504,Image,50,5000,100,,
11029,CR447543013946687488,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR447543013946687488,Image,50,5000,100,,
11030,CR447683751435042816,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR447683751435042816,Image,50,5000,100,,
11031,CR450729398643982336,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR450729398643982336,Image,50,5000,100,,
11035,CR4661929301770240,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR4661929301770240,Image,50,5000,100,,
11036,CR466280891107246080,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR466280891107246080,Image,500,50000,100,,
11037,CR471679493199626240,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR471679493199626240,Image,50,5000,100,,
11038,CR472594286873935872,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR472594286873935872,Image,50,5000,100,,
11039,CR475620142873575424,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR475620142873575424,Image,50,5000,100,,
11040,CR47567072040845312,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR47567072040845312,Image,50,5000,100,,
11041,CR478876896315047936,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR478876896315047936,Image,50,5000,100,,
11044,CR488728520499920896,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR488728520499920896,Image,50,50000,1000,,
11046,CR489342047988219904,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR489342047988219904,Image,50,5000,100,,
11047,CR489757663383519232,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR489757663383519232,Image,50,50000,1000,,
11048,CR490135895383474176,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR490135895383474176,Image,500,50000,100,,
11051,CR493513595104002048,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR493513595104002048,Image,500,50000,100,,
11052,CR49416450598764544,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR49416450598764544,Image,500,500000,1000,,
11053,CR494267860080656384,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR494267860080656384,Image,50,5000,100,,
11054,CR495534497475854336,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR495534497475854336,Image,50,5000,100,,
11055,CR496961663568707584,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR496961663568707584,Image,50,5000,100,,
11057,CR500460309568290816,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR500460309568290816,Image,50,5000,100,,
11060,CR505955668683915264,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR505955668683915264,Image,50,5000,100,,
11062,CR508207468497600512,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR508207468497600512,Image,500,50000,100,,
11063,CR508623083892899840,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR508623083892899840,Image,50,5000,100,,
11065,CR515519220822310912,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR515519220822310912,Image,50,5000,100,,
11067,CR520656139147280384,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR520656139147280384,Image,50,5000,100,,
11068,CR522281217333133312,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR522281217333133312,Image,500,50000,100,,
11069,CR524385682588696576,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR524385682588696576,Image,50,5000,100,,
11071,CR5275456790069248,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR5275456790069248,Image,50,5000,100,,
11072,CR533412673052737536,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR533412673052737536,Image,500,50000,100,,
11074,CR538606765982351360,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR538606765982351360,Image,500,50000,100,,
11076,CR543123559749255168,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR543123559749255168,Image,500,50000,100,,
11077,CR543247804563193856,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR543247804563193856,Image,50,5000,100,,
11078,CR544249459656097792,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR544249459656097792,Image,50,5000,100,,
11079,CR548401215562579968,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR548401215562579968,Image,500,50000,100,,
11080,CR55448371388743680,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR55448371388743680,Image,50,5000,100,,
11081,CR554664033794392064,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR554664033794392064,Image,50,50000,1000,,
11082,CR555649196212879360,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR555649196212879360,Image,500,50000,100,,
11083,CR556634358631366656,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR556634358631366656,Image,50,5000,100,,
11084,CR558584892259041280,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR558584892259041280,Image,50,5000,100,,
11085,CR559378739654295552,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR559378739654295552,Image,500,50000,100,,
11086,CR562666279421345792,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR562666279421345792,Image,50,5000,100,,
11087,CR568506885188091904,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR568506885188091904,Image,50,5000,100,,
11088,CR568948888862457856,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR568948888862457856,Image,500,50000,100,,
11089,CR569019257606635520,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR569019257606635520,Image,50,5000,100,,
11090,CR569159995094990848,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR569159995094990848,Image,500,500000,1000,,
11091,CR569300732583346176,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR569300732583346176,Image,500,500000,1000,,
11092,CR570919213699432448,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR570919213699432448,Image,50,5000,100,,
11093,CR571693269885386752,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR571693269885386752,Image,500,50000,100,,
11094,CR60393974690480128,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR60393974690480128,Image,500,500000,1000,,
11095,CR6119881720201216,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR6119881720201216,Image,50,5000,100,,
11096,CR62223562039099392,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR62223562039099392,Image,500,500000,1000,,
11097,CR64177394201657344,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR64177394201657344,Image,50,5000,100,,
11098,CR66285157992103936,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR66285157992103936,Image,50,5000,100,,
11099,CR67136179992002560,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR67136179992002560,Image,50,5000,100,,
11100,CR70667811340419072,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR70667811340419072,Image,50,5000,100,,
11101,CR72215923712327680,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR72215923712327680,Image,500,500000,1000,,
11103,CR75171410967789568,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR75171410967789568,Image,500,500000,1000,,
11104,CR78900954409205760,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR78900954409205760,Image,50,5000,100,,
11105,CR79936694362570752,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR79936694362570752,Image,50,5000,100,,
11107,CR83052710315687936,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR83052710315687936,Image,500,50000,100,,
11108,CR83244025338920960,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR83244025338920960,Image,50,5000,100,,
11109,CR89506843570733056,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR89506843570733056,Image,50,5000,100,,
11110,CR94013741732986880,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR94013741732986880,Image,50,5000,100,,
11113,CR9869216370917376,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR9869216370917376,Image,500,500000,1000,,
11114,CR98725149058007040,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR98725149058007040,Image,25000,500000,20,,
11116,CR99167152732372992,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR99167152732372992,Image,500,50000,100,,
11117,CR99518996453261312,https://transparencyreport.google.com/political-ads/library/advertiser/AR212460830858412032/creative/CR99518996453261312,Image,50,5000,100,,
11214,CR14269461905276928,https://transparencyreport.google.com/political-ads/library/advertiser/AR216045238764961792/creative/CR14269461905276928,Image,50,5000,100,,
11215,CR213593327835021312,https://transparencyreport.google.com/political-ads/library/advertiser/AR216045238764961792/creative/CR213593327835021312,Image,50,50000,1000,,
11217,CR336558310238978048,https://transparencyreport.google.com/political-ads/library/advertiser/AR216045238764961792/creative/CR336558310238978048,Image,50,50000,1000,,
11218,CR374867494373949440,https://transparencyreport.google.com/political-ads/library/advertiser/AR216045238764961792/creative/CR374867494373949440,Image,50,5000,100,,
11219,CR508469152265011200,https://transparencyreport.google.com/political-ads/library/advertiser/AR216045238764961792/creative/CR508469152265011200,Image,50,5000,100,,
11224,CR100968152778670080,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR100968152778670080,Image,500,50000,100,,
11225,CR101002237639131136,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR101002237639131136,Image,50,5000,100,,
11226,CR101094596615864320,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR101094596615864320,Image,50,5000,100,,
11227,CR103218853080727552,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR103218853080727552,Image,500,50000,100,,
11228,CR103360690080710656,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR103360690080710656,Image,500,50000,100,,
11229,CR104626227964280832,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR104626227964280832,Image,500,50000,100,,
11230,CR104817542987513856,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR104817542987513856,Image,50,5000,100,,
11231,CR105035246289813504,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR105035246289813504,Image,50,50000,1000,,
11232,CR105053937987485696,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR105053937987485696,Image,50,5000,100,,
11233,CR10530022859210752,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR10530022859210752,Image,50,5000,100,,
11234,CR1053332139409408,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR1053332139409408,Image,50,50000,1000,,
11235,CR105471752406040576,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR105471752406040576,Image,50,5000,100,,
11237,CR10600391603388416,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR10600391603388416,Image,500,500000,1000,,
11238,CR106372252429189120,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR106372252429189120,Image,50,5000,100,,
11239,CR106455815312900096,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR106455815312900096,Image,50,5000,100,,
11240,CR106456914824527872,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR106456914824527872,Image,50,5000,100,,
11241,CR106724096150077440,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR106724096150077440,Image,50,5000,100,,
11242,CR107216677359321088,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR107216677359321088,Image,50,5000,100,,
11243,CR107984136475508736,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR107984136475508736,Image,50,5000,100,,
11244,CR108764789731229696,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR108764789731229696,Image,50,5000,100,,
11245,CR108883536987029504,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR108883536987029504,Image,50,5000,100,,
11246,CR109321142614884352,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR109321142614884352,Image,500,50000,100,,
11247,CR109327739684651008,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR109327739684651008,Image,500,500000,1000,,
11248,CR109749952149716992,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR109749952149716992,Image,50,50000,1000,,
11249,CR110524008335671296,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR110524008335671296,Image,50,5000,100,,
11250,CR110828573056565248,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR110828573056565248,Image,50,5000,100,,
11251,CR111240889916981248,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR111240889916981248,Image,50,5000,100,,
11252,CR111509170754158592,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR111509170754158592,Image,50,5000,100,,
11253,CR111522364893691904,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR111522364893691904,Image,50,5000,100,,
11254,CR11163341556809728,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR11163341556809728,Image,50,5000,100,,
11255,CR111809337428541440,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR111809337428541440,Image,500,50000,100,,
11256,CR111931383219224576,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR111931383219224576,Image,50,5000,100,,
11257,CR111954472963407872,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR111954472963407872,Image,50,5000,100,,
11258,CR112617478474956800,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR112617478474956800,Image,50,5000,100,,
11259,CR113127651870244864,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR113127651870244864,Image,50,5000,100,,
11260,CR113338758102777856,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR113338758102777856,Image,50,5000,100,,
11261,CR113353051753938944,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR113353051753938944,Image,50,5000,100,,
11262,CR113432216591138816,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR113432216591138816,Image,50,5000,100,,
11263,CR114394289265442816,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR114394289265442816,Image,50,5000,100,,
11264,CR11444816533520384,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR11444816533520384,Image,50,5000,100,,
11265,CR115640035939713024,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR115640035939713024,Image,50,5000,100,,
11267,CR116027064032690176,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR116027064032690176,Image,50,5000,100,,
11268,CR116428385776828416,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR116428385776828416,Image,500,50000,100,,
11269,CR116575720334950400,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR116575720334950400,Image,500,50000,100,,
11270,CR117187048799993856,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR117187048799993856,Image,50,5000,100,,
11271,CR11744983207903232,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR11744983207903232,Image,500,50000,100,,
11272,CR117560882753437696,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR117560882753437696,Image,50,5000,100,,
11274,CR118701076311441408,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR118701076311441408,Image,50,5000,100,,
11276,CR119404763753218048,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR119404763753218048,Image,50,50000,1000,,
11277,CR120036982939189248,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR120036982939189248,Image,50,5000,100,,
11278,CR120142536055455744,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR120142536055455744,Image,50,5000,100,,
11279,CR120318457915899904,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR120318457915899904,Image,50,5000,100,,
11280,CR120675799194927104,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR120675799194927104,Image,50,5000,100,,
11281,CR121008951218143232,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR121008951218143232,Image,500,500000,1000,,
11282,CR122077676520341504,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR122077676520341504,Image,50,5000,100,,
11283,CR122416326101696512,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR122416326101696512,Image,50,5000,100,,
11284,CR12353013138063360,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR12353013138063360,Image,50,5000,100,,
11285,CR123753332241072128,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR123753332241072128,Image,50,5000,100,,
11286,CR124034807217782784,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR124034807217782784,Image,50,50000,1000,,
11287,CR124365760217743360,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR124365760217743360,Image,50,5000,100,,
11288,CR12448670649679872,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR12448670649679872,Image,50,5000,100,,
11289,CR124714305403748352,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR124714305403748352,Image,50,5000,100,,
11290,CR124787972682809344,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR124787972682809344,Image,50,5000,100,,
11291,CR125794025822224384,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR125794025822224384,Image,50,50000,1000,,
11292,CR126216238287290368,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR126216238287290368,Image,50,5000,100,,
11293,CR126722013636067328,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR126722013636067328,Image,50,5000,100,,
11294,CR126990294473244672,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR126990294473244672,Image,50,50000,1000,,
11295,CR127623613170843648,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR127623613170843648,Image,50,5000,100,,
11296,CR127708275566182400,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR127708275566182400,Image,50,5000,100,,
11297,CR128130488031248384,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR128130488031248384,Image,50,5000,100,,
11298,CR128134886077759488,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR128134886077759488,Image,50,5000,100,,
11299,CR128621969728864256,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR128621969728864256,Image,50,50000,1000,,
11300,CR12870883114745856,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR12870883114745856,Image,50,5000,100,,
11301,CR128913340310224896,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR128913340310224896,Image,50,5000,100,,
11302,CR128916638845108224,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR128916638845108224,Image,50,50000,1000,,
11303,CR12922560161251328,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR12922560161251328,Image,50,5000,100,,
11304,CR129523569263640576,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR129523569263640576,Image,50,5000,100,,
11305,CR130367994193772544,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR130367994193772544,Image,500,500000,1000,,
11306,CR130416372705394688,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR130416372705394688,Image,50,5000,100,,
11307,CR1305120302170112,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR1305120302170112,Image,50,5000,100,,
11308,CR131282787868082176,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR131282787868082176,Image,50,5000,100,,
11309,CR131493894100615168,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR131493894100615168,Image,50,50000,1000,,
11310,CR132216273240064000,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR132216273240064000,Image,50,5000,100,,
11311,CR132528534542352384,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR132528534542352384,Image,50,5000,100,,
11312,CR132632988146991104,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR132632988146991104,Image,50,50000,1000,,
11313,CR133698414914306048,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR133698414914306048,Image,50,5000,100,,
11314,CR133886431402655744,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR133886431402655744,Image,50,5000,100,,
11315,CR13428335510028288,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR13428335510028288,Image,50,5000,100,,
11316,CR134322937518882816,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR134322937518882816,Image,500,50000,100,,
11317,CR134590118844432384,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR134590118844432384,Image,50,5000,100,,
11318,CR136935377146478592,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR136935377146478592,Image,50,5000,100,,
11319,CR137615974844071936,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR137615974844071936,Image,500,50000,100,,
11320,CR138108556053315584,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR138108556053315584,Image,500,50000,100,,
11321,CR138121750192848896,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR138121750192848896,Image,50,5000,100,,
11322,CR138486788053270528,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR138486788053270528,Image,50,50000,1000,,
11323,CR138971672681119744,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR138971672681119744,Image,50,5000,100,,
11324,CR139002459006697472,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR139002459006697472,Image,50,5000,100,,
11325,CR139845784425201664,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR139845784425201664,Image,500,50000,100,,
11326,CR140519785053028352,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR140519785053028352,Image,50,5000,100,,
11327,CR141134412052955136,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR141134412052955136,Image,50,5000,100,,
11328,CR142062399866798080,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR142062399866798080,Image,500,50000,100,,
11329,CR142990387680641024,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR142990387680641024,Image,50,5000,100,,
11331,CR143188299773640704,https://transparencyreport.google.com/political-ads/library/advertiser/AR216975425602060288/creative/CR143188299773640704,Image,50,5000,100,,
